device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=backdoor
round   1 | acc=0.4601 | bsr=0.228 | agg=0.82s | det_auroc=0.656 | tpr@5=0.00
round   2 | acc=0.6179 | bsr=0.043 | agg=0.80s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6918 | bsr=0.026 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7218 | bsr=0.028 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7489 | bsr=0.028 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7550 | bsr=0.021 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7709 | bsr=0.022 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7785 | bsr=0.029 | agg=0.83s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7888 | bsr=0.025 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7964 | bsr=0.021 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7989 | bsr=0.025 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8059 | bsr=0.027 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8066 | bsr=0.019 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8102 | bsr=0.023 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8211 | bsr=0.023 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8239 | bsr=0.020 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8246 | bsr=0.021 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8347 | bsr=0.019 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8342 | bsr=0.019 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8388 | bsr=0.018 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8385 | bsr=0.016 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8415 | bsr=0.019 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8459 | bsr=0.017 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8470 | bsr=0.017 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8487 | bsr=0.018 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8547 | bsr=0.018 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8561 | bsr=0.017 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8530 | bsr=0.012 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8562 | bsr=0.015 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8570 | bsr=0.013 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8598 | bsr=0.017 | agg=0.83s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8604 | bsr=0.011 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8606 | bsr=0.014 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8653 | bsr=0.015 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8641 | bsr=0.012 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8655 | bsr=0.016 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8666 | bsr=0.014 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8675 | bsr=0.014 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8683 | bsr=0.013 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
